藏,书名,题材,朝代,页数,今译状态,source_url,复核说明,语体,语体依据
道藏,列仙传,人物传记,汉,3,确认有今译,https://www.dedao.cn/ebook/detail?id=Lk89Yv4kyM12eaG795DmKAponOvLVWvBYrWZzdbYxN84JQR6XgEqBPljrbpzARlB,全注全译含译文在售,,
道藏,长春真人西游记,人物传记,元,1,确认有今译,https://zh.wikipedia.org/zh-hans/%E9%95%BF%E6%98%A5%E7%9C%9F%E4%BA%BA%E8%A5%BF%E6%B8%B8%E8%AE%B0,维基载三民新译本书目,,
史藏,列女传,人物传记,汉,4,确认有今译,https://www.dedao.cn/ebook/detail?id=AnKgjNlArlXVNGKD1yL2Ek6YaogQv0Y5el0bZ4RBn7j589zJpMxmdPeqOYDxqL4y,古列女传译注本,,
史藏,古列女传,人物传记,汉,6,确认有今译,https://www.dedao.cn/ebook/detail?id=AnKgjNlArlXVNGKD1yL2Ek6YaogQv0Y5el0bZ4RBn7j589zJpMxmdPeqOYDxqL4y,古列女传译注本,,
史藏,高士传,人物传记,魏晋南北朝,4,确认有今译,http://ab.newdu.com/book/mb882.html,国学典籍网白话全本翻译,,
佛藏,大唐大慈恩寺三藏法师传,佛教故事,隋唐,3,确认有今译,https://weread.qq.com/web/bookDetail/2aa321b0718874ff2aa9beb,全本全注全译白话,,
佛藏,大唐西域记,佛教故事,隋唐,10,确认有今译,https://book.douban.com/subject/10488583/,白话翻译注释普及读物,,
佛藏,大慈恩寺三藏法师传,佛教故事,隋唐,2,确认有今译,https://weread.qq.com/web/bookDetail/2aa321b0718874ff2aa9beb,全本全注全译白话,,
佛藏,净土圣贤录,佛教故事,清,21,确认有今译,https://m.douban.com/book/subject/26708362/,净土圣贤录白话可售,,
佛藏,旧杂譬喻经,佛教故事,魏晋南北朝,2,确认有今译,https://www.sklib.cn/booklib/bookPreview?SiteID=122&ID=4869500,注译与辨析含译文,,
佛藏,杂譬喻经,佛教故事,魏晋南北朝,1,确认有今译,https://m.douban.com/book/subject/2783114/,杂譬喻经译注含译文,,
佛藏,杂譬喻经--,佛教故事,魏晋南北朝,1,确认有今译,https://m.douban.com/book/subject/2783114/,杂譬喻经译注含译文,,
佛藏,杂譬喻经-后汉-支娄迦谶,佛教故事,汉,1,确认有今译,https://m.douban.com/book/subject/2783114/,杂譬喻经译注含译文,,
佛藏,杂譬喻经-道略,佛教故事,魏晋南北朝,2,确认有今译,https://m.douban.com/book/subject/2783114/,杂譬喻经译注含译文,,
佛藏,林间录,佛教故事,宋,4,确认有今译,https://m.douban.com/book/subject/33380923/,辅言含白话译文,,
佛藏,比丘尼传,佛教故事,魏晋南北朝,3,确认有今译,https://www.fjdh.cn/wumin/2013/01/163420203179.html,在线白话阅读可用,,
佛藏,洛阳伽蓝记,佛教故事,魏晋南北朝,2,确认有今译,https://book.douban.com/subject/1691961/,全文译成现代汉语,,
佛藏,玄奘三藏法师资传丛书,佛教故事,隋唐,2,确认有今译,https://book.douban.com/subject/30151819/,全注全译晓畅流利,,
佛藏,百喻经,佛教故事,魏晋南北朝,3,确认有今译,https://www.fjdh.cn/wumin/2013/01/155413207673.html,在线白话阅读可用,,
佛藏,贤愚因缘经,佛教故事,魏晋南北朝,3,确认有今译,https://www.fjdh.cn/wumin/2014/01/123224320520.html,在线白话阅读可用,,
佛藏,贤愚经,佛教故事,魏晋南北朝,5,确认有今译,https://www.zhonghuadiancang.com/foxuebaodian/8255/,白话贤愚经在线阅读,,
佛藏,那先比丘经,佛教故事,魏晋南北朝,1,确认有今译,https://www.zhonghuadiancang.com/foxuebaodian/17879/,那先比丘经译注本,,
佛藏,那先比丘经--,佛教故事,魏晋南北朝,1,确认有今译,https://www.zhonghuadiancang.com/foxuebaodian/17879/,那先比丘经译注本,,
佛藏,佛说盂兰盆经,佛教故事,魏晋南北朝,1,确认有今译,https://www.xiangfo.net/info/info.aspx?id=I100119&typeno=1,附白话文译文可读,,
佛藏,佛说老女人经,佛教故事,魏晋南北朝,1,确认有今译,https://www.buddhist-experience.org/welcome/article_detail/4537.html,白话译本可在线阅读,,
佛藏,佛说弥勒下生经,佛教故事,魏晋南北朝,1,确认有今译,https://www.suning.com/hotgoods/0071487071/12406691702.html,星云监修白话全注全译在售,,
子藏,冥祥记,佛教故事,魏晋南北朝,2,确认有今译,http://ab.newdu.com/book/mb17326.html,国学典籍网白话全本翻译,,
佛藏,众经撰杂譬喻,佛教故事,魏晋南北朝,2,确认有今译,https://www.dushu.com/book/11838729/,中华书局译注本售卖页,,
佛藏,众经撰杂譬喻经,佛教故事,魏晋南北朝,2,确认有今译,https://www.dushu.com/book/11838729/,中华书局译注本售卖页,,
诗藏,赵盼儿风月救风尘,戏曲剧本,元,2,确认有今译,https://www.dedao.cn/ebook/detail?id=ekM2z5Kexap9AKyJEz8DOYn6GNrV20KNB6AwdgbRXq1Qvlj7P5ZmoMkLB47y6ONA,黄仕忠译注含译文在售,,
集藏,聊斋志异,文言小说,清,40,确认有今译,https://www.dedao.cn/ebook/detail?id=vExPL6aYQPjadpoZxR5r6KDkbNJVO0o2P9w84GeXyLElm92gnMA1zvB7qMKpBGkj,文白对照全注全译本,,
史藏,西京杂记,文言小说,魏晋南北朝,3,确认有今译,https://www.dedao.cn/ebook/detail?id=JblNOdGPBpZdjEgmN4JLq7yaRvKV206AY6w1roMz6xYX5QDG8l9bnOeAkey1g25L,全本全注全译,,
子藏,李娃传,文言小说,隋唐,1,确认有今译,https://www.dedao.cn/ebook/detail?id=ZykJDGjQ7AOLNa642rbP8dkEgemKDwdlYowXoVRjpBxl95MJzqvYGynZ18MEl5Bo,唐宋传奇集全译含此篇,,
子藏,杨太真外传,文言小说,宋,1,确认有今译,https://www.dedao.cn/ebook/detail?id=ZykJDGjQ7AOLNa642rbP8dkEgemKDwdlYowXoVRjpBxl95MJzqvYGynZ18MEl5Bo,唐宋传奇集全译含此篇,,
子藏,三水小牍,文言小说,隋唐,3,确认有今译,http://ab.newdu.com/book/mb17327.html,国学典籍网白话全本翻译,,
子藏,冥通记,文言小说,魏晋南北朝,1,确认有今译,http://ab.newdu.com/book/b18736.html,周氏冥通记白话全本翻译,,
子藏,剪灯余话,文言小说,明,23,确认有今译,http://ab.newdu.com/book/b16927.html,国学典籍网白话全本翻译,,
子藏,剪灯新话,文言小说,明,5,确认有今译,http://ab.newdu.com/book/mb13.html,国学典籍网白话全本翻译,,
集藏,淞隐漫录,文言小说,清,41,确认有今译,https://m.douban.com/book/review/14722752/,书评证白话今译本存在,,
子藏,夜雨秋灯录,文言小说,清,5,确认有今译,https://www.qimao.com/shuku/1777370/,白话夜雨秋灯录徐赟编著,,
子藏,夷坚志,文言小说,宋,21,确认有今译,https://max.book118.com/html/2018/0415/161604534.shtm,夷坚志文白对照全译本条目,,
子藏,夷坚志全集,文言小说,宋,36,确认有今译,https://max.book118.com/html/2018/0415/161604534.shtm,夷坚志文白对照全译本条目,,
子藏,子不语,文言小说,清,46,确认有今译,https://m.douban.com/book/subject/30185942/,上海古籍文言加白话翻译,,
集藏,红楼梦,章回小说,清,31,确认有今译,https://www.dedao.cn/ebook/detail?id=6JvkYVNn8NXVry5MeG6Z9RALK2dxJ3GPJM4w7olBEmjgakz1DPvYObQ4qpQdZqme,现代白话重写全本售卖,,
集藏,蔡东藩两晋演义,章回小说,民国,19,确认有今译,https://book.douban.com/series/3007,历朝通俗演义白话版系列,,
集藏,蔡东藩五代史演义,章回小说,民国,18,确认有今译,https://book.douban.com/series/3007,历朝通俗演义白话版系列,,
集藏,蔡东藩元史演义,章回小说,民国,16,确认有今译,https://book.douban.com/series/3007,历朝通俗演义白话版系列,,
集藏,蔡东藩前汉演义,章回小说,民国,19,确认有今译,https://book.douban.com/series/3007,历朝通俗演义白话版系列,,
集藏,蔡东藩南北史演义,章回小说,民国,31,确认有今译,https://book.douban.com/series/3007,历朝通俗演义白话版系列,,
集藏,蔡东藩后汉演义,章回小说,民国,16,确认有今译,https://book.douban.com/series/3007,历朝通俗演义白话版系列,,
集藏,蔡东藩唐史演义,章回小说,民国,16,确认有今译,https://book.douban.com/series/3007,历朝通俗演义白话版系列,,
集藏,蔡东藩宋史演义,章回小说,民国,18,确认有今译,https://book.douban.com/series/3007,历朝通俗演义白话版系列,,
集藏,蔡东藩明史演义,章回小说,民国,16,确认有今译,https://book.douban.com/series/3007,历朝通俗演义白话版系列,,
集藏,蔡东藩民国演义,章回小说,民国,41,确认有今译,https://book.douban.com/series/3007,历朝通俗演义白话版系列,,
集藏,蔡东藩清史演义,章回小说,民国,24,确认有今译,https://book.douban.com/series/3007,历朝通俗演义白话版系列,,
集藏,三国志通俗演义嘉靖壬午本,章回小说,明,88,确认有今译,https://sanguo.5000yan.com/baihuawen/,在线白话文版可用,,
集藏,三国演义,章回小说,明,40,确认有今译,https://sanguo.5000yan.com/baihuawen/,在线白话文版可用,,
集藏,西游记,章回小说,明,34,确认有今译,https://www.dedao.cn/ebook/detail?id=L5BbmPyQPrjybo2eO1GvAmNJnlYxV0R9aBBw8XDBK9qZpgkRELd75z4Ma6oDRrqj,现代白话重写版售卖,,
集藏,镜花缘,章回小说,清,32,确认有今译,https://www.hxph.com.cn/rmtj/4212.jhtml,华夏出版社白话本售卖,,
集藏,隋唐演义,章回小说,清,37,确认有今译,https://www.hongxiu.com/bookquery/qbgtmituenbp,悦读经典白话版含注释,,
子藏,续子不语,笔记小说,清,14,确认有今译,https://www.dedao.cn/ebook/detail?id=DGgybmrKYXmzPQ5bgJEjMdeOxDlyn0MDPZw2GaRN8k4p6B1oArL9Z7qvVRp8O126,子不语全译白话译文本,,
子藏,萤窗异草,笔记小说,清,10,确认有今译,http://www.wenxue100.com/book_GuDianXiaoShuo/1055.thtml,白话萤窗异草在线全本,,
子藏,蒙斋笔谈,笔记小说,宋,1,确认有今译,http://ab.newdu.com/book/mb17724.html,国学典籍网白话全本翻译,,
子藏,西湖杂记,笔记小说,明,1,确认有今译,https://m.cngwzj.com/gushi/MingDai/96180/,原文对照白话翻译可用,,
子藏,通天乐,笔记小说,清,5,确认有今译,https://books.apple.com/gb/book/%E9%80%9A%E5%A4%A9%E4%B9%90-%E7%AE%80%E4%BD%93%E4%B8%AD%E6%96%87%E7%89%88/id1396111715,石成金白话小说在售页,,
子藏,遂昌杂录,笔记小说,元,1,确认有今译,http://ab.newdu.com/book/mb1305.html,国学典籍网白话全本翻译,,
子藏,避暑录话,笔记小说,宋,4,确认有今译,http://ab.newdu.com/book/b13138.html,国学典籍网白话全本翻译,,
子藏,酉阳杂俎,笔记小说,隋唐,13,确认有今译,https://www.dedao.cn/ebook/detail?id=bODoM61kAj9Rql84gzG5nVNZopXKY3DvVn0JLrBmEDv2QPMOyx7a6e1dbPQj2Zdm,中华书局全注全译张仲裁,,
史藏,入蜀记,笔记小说,宋,3,确认有今译,https://www.thepaper.cn/newsDetail_forward_27719611,上海古籍译注本,,
史藏,吴船录,笔记小说,宋,1,确认有今译,https://www.thepaper.cn/newsDetail_forward_27719611,上海古籍译注本,,
儒藏,孔丛子,笔记小说,汉,3,确认有今译,https://weread.qq.com/web/reader/e8c32300813ab7bb5g019949,孔丛子译注本,,
儒藏,孔子家语,笔记小说,魏晋南北朝,13,确认有今译,https://www.cp.com.cn/book/8c420030-8.html,今注今译本,,
儒藏,说苑,笔记小说,汉,8,确认有今译,https://www.dedao.cn/ebook/detail?id=xGM6Evn5byxq2PnXBz71AjZaol6R8WJVebWOKpGkd4gmMLEJrYNQe9VvD8P4jLkK,全本全注全译,,
子藏,阅微草堂笔记,笔记小说,清,26,确认有今译,https://books.google.com/books/about/%E9%98%85%E5%BE%AE%E8%8D%89%E5%A0%82%E7%AC%94%E8%AE%B0.html?id=OL9NzwEACAAJ,谷歌书目全注全译版条目,,
子藏,风俗通义,笔记小说,汉,5,确认有今译,https://www.dedao.cn/ebook/detail?id=2BeEdA94ma8x6VX2zLjQBNq5dKveMw1NV60JZPAO1lGbpRyYgonDEr97kMoLmlba,中华书局全注全译在售页,,
史藏,晏子春秋,笔记小说,先秦,8,确认有今译,https://opac.uibe.edu.cn/opac/book/51a35349ae45253c835baf3abe94316e,晏子春秋译注本,,
史藏,梦蕉亭杂记,笔记小说,清,2,确认有今译,https://m.douban.com/book/subject/2129581/,陈南濂译注本著录,,
史藏,影梅庵忆语,笔记小说,清,1,确认有今译,https://www.dedao.cn/ebook/detail?id=2BeEdA94ma8x6VX2zLjQBNq5dKveMw1LQdg3JZPAO1lGbpRyYgonDEr97kMoLmlb,含白话影梅庵忆语,,
史藏,徐霞客游记,笔记小说,明,13,确认有今译,https://yuyi.com.sg/products/9787101107647,全本全注全译,,
史藏,陶庵梦忆,笔记小说,明,5,确认有今译,https://www.dedao.cn/ebook/detail?id=6JvkYVNn8NXVry5MeG6Z9RALK2dxJ3GjXXW7olBEmjgakz1DPvYObQ4qpQdZqme9,徐建雄全文白话译注本,,
子藏,玄怪录,笔记小说,隋唐,5,确认有今译,https://www.dedao.cn/eBook/OAdXprx6N41dm9BQkayr8z7OqLGoE3lo1dWYMlVAnxRZXK2Dg5pbevPJjjnQv2eb,中华书局全注全译林宪亮,,
子藏,拾遗录,笔记小说,魏晋南北朝,4,确认有今译,https://www.dedao.cn/ebook/detail?id=6JvkYVNn8NXVry5MeG6Z9RALK2dxJ3GLADw7olBEmjgakz1DPvYObQ4qpQdZqme9,拾遗记中华全注全译本,,
子藏,拾遗记,笔记小说,魏晋南北朝,4,确认有今译,https://www.dedao.cn/ebook/detail?id=6JvkYVNn8NXVry5MeG6Z9RALK2dxJ3GLADw7olBEmjgakz1DPvYObQ4qpQdZqme9,得到全本全注全译售卖页,,
子藏,新世说,笔记小说,民国,24,确认有今译,https://m.douban.com/book/subject/3026472/,文白对照本豆瓣条目,,
子藏,智囊全集,笔记小说,明,10,确认有今译,https://weread.qq.com/web/bookDetail/6e5327605515726e5f1a6df,智囊白话译本售卖页,,
子藏,世说新语,笔记小说,魏晋南北朝,11,确认有今译,https://book.douban.com/subject/1076343/,中华书局全注全译本,,
子藏,东坡志林,笔记小说,宋,11,确认有今译,https://news.qq.com/rain/a/20250330A01T2P00,罗宁译注本含题解注释翻译,,
子藏,书斋夜话,笔记小说,宋,2,确认有今译,http://ab.newdu.com/book/b6818.html,国学典籍网白话全本翻译,,
子藏,佩韦斋辑闻,笔记小说,宋,2,确认有今译,http://ab.newdu.com/book/mb17780.html,国学典籍网白话全本翻译,,
子藏,侯鲭录,笔记小说,宋,5,确认有今译,http://ab.newdu.com/book/b1274.html,国学典籍网白话全本翻译,,
子藏,儒林公议,笔记小说,宋,2,确认有今译,http://ab.newdu.com/book/mb1277.html,国学典籍网白话全本翻译,,
子藏,冷斋夜话,笔记小说,宋,9,确认有今译,http://ab.newdu.com/book/b1253.html,国学典籍网白话全本翻译,,
子藏,北窗琐语,笔记小说,明,2,确认有今译,http://ab.newdu.com/book/mb14316.html,国学典籍网白话全本翻译,,
集藏,笑林广记,笔记小说,清,26,确认有今译,https://book.douban.com/subject/33450498/,王猛译注本译注详细,,
子藏,夜航船,笔记小说,明,115,确认有今译,https://weread.qq.com/web/bookDetail/cd5329207186004ecd5a928,夜航船全鉴含注释翻译,,
集藏,警世通言,话本拟话本,明,37,确认有今译,https://www.guoxuemeng.com/guoxue/jingshitongyan/,在线白话全文阅读可用,,
集藏,醒世恒言,话本拟话本,明,32,确认有今译,https://www.guoxuemeng.com/guoxue/xingshihengyan/,在线白话全文阅读可用,,
儒藏,杜骗新书,话本拟话本,明,9,确认有今译,https://m.douban.com/book/subject/14267591/,今译今解本,,
集藏,全相二十四孝诗选,人物传记,元,3,确认有今译,https://www.amazon.com/dp/7214159880,【深度续查】严军注译彩图本在售，多家白话译文,,
道藏,墉城集仙录,人物传记,隋唐,3,确认有今译,https://gx.httpcn.com/book/0793946f622441bfbb4d58dbd4dff477/,【可信站标白话全译·反爬未实地核】汉程/阅古籍/微信读书均列白话，无出版译注本,,
道藏,神仙传,人物传记,魏晋南北朝,4,确认有今译,https://yuyi.com.sg/products/9787101124668,【深度续查】中华书局全本全注全译谢青云2022在售,,
史藏,唐才子传,人物传记,元,6,确认有今译,https://m.bookschina.com/1779141.htm,【深度续查】唐才子传全译贵州人民出版社李立朴,,
佛藏,高僧传,佛教故事,魏晋南北朝,12,确认有今译,https://www.wenyanguji.com/zi/gaosengchuan,【可信站标白话全译·反爬未实地核】文言古籍网/国学典籍网有全译，出版本为点校,,
佛藏,六度集经,佛教故事,魏晋南北朝,3,确认有今译,https://www.amazon.com.au/dp/7807529539,【深度续查】巴蜀书社蒲正信注2012，另有白话故事本,,
佛藏,冥报记,佛教故事,隋唐,1,确认有今译,https://www2.budaedu.org/dharma-data/book-efile/CH730-45-01-001.pdf,【深度续查】佛陀教育基金会冥报记白话注解本,,
佛藏,法苑珠林,佛教故事,隋唐,161,确认有今译,https://www.wenyanguji.com/zi/fayuanzhulin,【可信站标白话全译·反爬未实地核】文言古籍网/国学典籍网/中华字典有全文翻译,,
佛藏,玉耶经,佛教故事,魏晋南北朝,1,确认有今译,https://weread.qq.com/web/reader/9af327b0813ab9be1g0198fe,【深度续查】微信读书有书+简体注音白话本,,
佛藏,缁门崇行录,佛教故事,明,8,确认有今译,https://www.dushu.com/guoxue/107248/,【深度续查】吴锦煌白话浅述+佛光出版社译本,,
佛藏,阿育王传,佛教故事,魏晋南北朝,4,确认有今译,https://www.amazon.com/-/zh_TW/%E5%8C%BF%E5%90%8D/dp/7223056940,【深度续查】白话阿育王传西藏人民2017,,
佛藏,佛说箭喻经,佛教故事,魏晋南北朝,1,确认有今译,https://www.douban.com/note/39771220/,【深度续查】白话箭喻经+知乎白话改写流通,,
佛藏,佛说维摩诘经,佛教故事,魏晋南北朝,3,确认有今译,https://m.douban.com/book/subject/1360522/,【深度续查】三民新译+中华书局佛教十三经译注,,
诗藏,关大王独赴单刀会,戏曲剧本,元,3,确认有今译,https://baike.baidu.com/item/%E5%8D%95%E5%88%80%E4%BC%9A/24623901,【深度续查】康保成李树玲注人文社2018,,
诗藏,木皮散人鼓词,戏曲剧本,清,5,确认有今译,https://www.zhonghuadiancang.com/shicixiqu/12804/,【可信站标白话全译·反爬未实地核】关德栋周中明校注齐鲁书社82未见全白话,,
诗藏,桃花扇,戏曲剧本,清,15,确认有今译,https://book.douban.com/subject/1035320/,【深度续查】王季思注本人文社+许渊冲译本,,
诗藏,牡丹亭,戏曲剧本,明,8,确认有今译,https://book.douban.com/tag/%E7%89%A1%E4%B8%B9%E4%BA%AD,【深度续查】中华书局蔺文锐评注本、许渊冲译本均有,,
诗藏,白朴元曲集,戏曲剧本,元,1,确认有今译,https://www.gushiwen.cn/gushiwen_6d21b46a24.aspx,【深度续查】王文才白朴戏曲集校注本，作品均有译注,,
诗藏,破幽梦孤雁汉宫秋,戏曲剧本,元,2,确认有今译,https://www.amazon.com/%E6%B1%89%E5%AE%AB%E7%A7%8B-%E5%85%83-%E9%A9%AC%E8%87%B4%E8%BF%9C/dp/9571460036,【深度续查】三民书局王星琦校注本、元曲选校注均收,,
诗藏,窦娥冤,戏曲剧本,元,1,确认有今译,https://gx.httpcn.com/shici/html/CQCQCQXVTB/PWXVCQMECQKO.shtml,【深度续查】多家原文注释译文，关汉卿名剧译注通行,,
诗藏,西厢记,戏曲剧本,元,14,确认有今译,https://www.amazon.com/dp/B01N1IKYD1,【深度续查】中华书局译注本、许渊冲译本均有,,
诗藏,赵氏孤儿大报仇,戏曲剧本,元,2,确认有今译,https://book.douban.com/subject/5365218/,【深度续查】上海古籍顾学颉注释本，Amazon亦有译注本,,
诗藏,长生殿,戏曲剧本,清,19,确认有今译,https://book.douban.com/subject/1022951/,【深度续查】人民文学出版社徐朔方校注本通行,,
集藏,古小说钩沉,文言小说,民国,16,确认有今译,https://baike.baidu.com/item/%E5%8F%A4%E5%B0%8F%E8%AF%B4%E9%92%A9%E6%B2%89/10779569,【深度续查】齐鲁书社、人民文学出版社整理校注本,,
集藏,唐传奇选辑,文言小说,隋唐,3,确认有今译,https://book.douban.com/subject/35909058/,【深度续查】周日智译注本(现代出版社2022)及大中华文库汉英对照,,
子藏,虬髯客传,文言小说,隋唐,1,确认有今译,https://qiuranke.5000yan.com/,【深度续查】多站均有逐句白话译文(5000yan/diyifanwen),,
子藏,夜谭随录,文言小说,清,17,确认有今译,https://m.douban.com/book/subject/1545944/,【深度续查】上海古籍《白话全本夜谭随录》束景南等译1996,,
子藏,太平广记,文言小说,宋,228,确认有今译,https://taiping.5000yan.com/,"【深度续查】中华书局2021全本文白对照,多站有白话译文",,
道藏,录异记,神话寓言,五代,2,无,https://www.diancang.xyz/wenxueyishu/9696/,"【深度续查】多式仅得原文电子本,无白话译注本",,
道藏,梓潼帝君化书,神话寓言,元,7,无,https://www.zhonghuadiancang.com/xuanxuewushu/11272/,"【深度续查】仅原文电子本,无中文白话译注本",,
史藏,山海经,神话寓言,先秦,9,确认有今译,https://book.douban.com/subject/26889848/,"【深度续查】袁珂《山海经全译》有校有注有译,权威本",,
子藏,岭南摭怪,神话寓言,元,3,无,https://baike.baidu.com/item/%E5%B2%AD%E5%8D%97%E6%91%AD%E6%80%AA,"【深度续查】越南汉文典籍,多式仅得原文,无白话今译",,
集藏,儿女英雄传,章回小说,清,28,确认有今译,https://book.douban.com/subject/26354888/,【深度续查】人民文学校注本及华文版、汉英对照本俱在,,
集藏,封神演义,章回小说,明,56,确认有今译,https://www.51changdu.cn/Home/BookDetail/136028,【深度续查】文白对照全译青少版插图本多种,,
集藏,古今笑史,笔记小说,明,50,确认有今译,https://www.dushu.com/guoxue/104051/,【深度续查】读书网及国学典籍网均有白话全译,,
