藏,书名,题材,朝代,页数,推荐优先级,知名度,理由
史藏,列女传,人物传记,汉,4,高,高,刘向名著，女性故事经典流传广
史藏,郑成功传,人物传记,清,13,高,高,郑成功收台抗清，英雄事迹知名
佛藏,佛说九色鹿经,佛教故事,魏晋南北朝,1,高,高,九色鹿本生，敦煌壁画名故事广为人知
佛藏,佛说九色鹿经,佛教故事,魏晋南北朝,1,高,高,九色鹿本生，敦煌壁画名故事广为人知
佛藏,佛说盂兰盆经,佛教故事,魏晋南北朝,1,高,高,目连救母盂兰盆源头，中元节家喻户晓
佛藏,佛说盂兰盆经,佛教故事,魏晋南北朝,1,高,高,目连救母盂兰盆源头，中元节家喻户晓
佛藏,佛说维摩诘经,佛教故事,魏晋南北朝,3,高,高,维摩诘居士经典，文学影响深远
佛藏,大唐西域记,佛教故事,隋唐,10,高,高,玄奘西域见闻名著故事性强
佛藏,大唐西域记,佛教故事,隋唐,8,高,高,玄奘西域见闻名著故事性强
佛藏,洛阳伽蓝记,佛教故事,魏晋南北朝,2,高,高,记洛阳寺庙掌故名著文学性强
诗藏,元曲选,戏曲剧本,元,133,高,高,臧懋循辑元杂剧精华，名剧荟萃地位极高
诗藏,六十种曲琵琶记,戏曲剧本,元,12,高,高,高明南戏之祖，赵五娘故事地位极高
诗藏,六十种曲西厢记,戏曲剧本,元,9,高,高,王实甫崔张爱情名剧，地位极高广为人知
诗藏,六十种曲还魂记,戏曲剧本,明,15,高,高,即牡丹亭杜丽娘还魂，名剧地位极高
诗藏,关大王独赴单刀会,戏曲剧本,元,3,高,高,关汉卿名剧，关羽单刀赴会脍炙人口
诗藏,桃花扇,戏曲剧本,清,15,高,高,孔尚任名剧，侯李兴亡爱情地位极高
诗藏,牡丹亭,戏曲剧本,明,8,高,高,汤显祖至情名剧，杜丽娘还魂地位极高
诗藏,破幽梦孤雁汉宫秋,戏曲剧本,元,2,高,高,马致远名剧，昭君出塞故事经典
诗藏,窦娥冤,戏曲剧本,元,1,高,高,关汉卿悲剧巅峰，六月飞雪家喻户晓
诗藏,西厢记,戏曲剧本,元,14,高,高,王实甫崔张爱情名剧，地位极高广为人知
诗藏,赵氏孤儿大报仇,戏曲剧本,元,2,高,高,纪君祥悲剧名作，赵氏孤儿故事经典
诗藏,赵盼儿风月救风尘,戏曲剧本,元,2,高,高,关汉卿名剧，妓女智斗故事生动诙谐
诗藏,长生殿,戏曲剧本,清,19,高,高,洪昇名剧，李杨爱情兴亡地位极高
诗藏,雷峰塔,戏曲剧本,清,12,高,高,白蛇传定本，水漫金山故事家喻户晓
史藏,西京杂记,文言小说,魏晋南北朝,3,高,高,记西汉宫廷轶事，名著故事生动
子藏,剪灯新话,文言小说,明,5,高,高,明代文言传奇名作，影响东亚深远
子藏,太平广记,文言小说,宋,228,高,高,古小说总集，志怪传奇宝库地位极高
子藏,太平广记,文言小说,宋,323,高,高,古小说总集，志怪传奇宝库地位极高
子藏,子不语,文言小说,清,46,高,高,袁枚志怪名作，故事诙谐知名度高
子藏,李娃传,文言小说,隋唐,1,高,高,唐传奇名篇，爱情故事经典动人
子藏,虬髯客传,文言小说,隋唐,1,高,高,唐传奇豪侠经典，风尘三侠故事脍炙人口
集藏,唐传奇选辑,文言小说,隋唐,3,高,高,唐传奇精选，文言小说巅峰
集藏,聊斋志异,文言小说,清,40,高,高,文言志怪巅峰，必译经典
史藏,山海经,神话寓言,先秦,9,高,高,上古神话总汇，奇幻名著流传极广
子藏,山海经,神话寓言,先秦,9,高,高,上古神话地理奇书，影响深远知名度极高
道藏,山海经,神话寓言,先秦,15,高,高,上古神话总集，奇想丰富大众熟知
集藏,三侠五义,章回小说,清,24,高,高,侠义公案经典，包公展昭家喻户晓
集藏,三国志通俗演义嘉靖壬午本,章回小说,明,88,高,高,三国演义最早刊本，地位极高
集藏,三国演义,章回小说,明,40,高,高,四大名著，家喻户晓必译
集藏,东周列国志,章回小说,清,146,高,高,列国历史演义经典，流传广泛
集藏,二十年目睹之怪现状,章回小说,清,33,高,高,晚清四大谴责小说之一
集藏,儒林外史,章回小说,清,14,高,高,讽刺小说巅峰，文学地位极高
集藏,儿女英雄传,章回小说,清,28,高,高,侠义言情经典，十三妹深入人心
集藏,孽海花,章回小说,清,6,高,高,晚清四大谴责小说之一
集藏,官场现行记,章回小说,清,22,高,高,晚清四大谴责小说之一
集藏,封神演义,章回小说,明,56,高,高,神魔小说经典，封神题材家喻户晓
集藏,杨乃武与小白菜,章回小说,清,8,高,高,清末四大奇案，家喻户晓故事强
集藏,杨家将传,章回小说,明,11,高,高,杨家将忠勇故事流传极广
集藏,水浒传,章回小说,明,50,高,高,四大名著，故事经典必译
集藏,江湖奇侠传,章回小说,民国,28,高,高,平江不肖生武侠名作，影响大
集藏,济公全传,章回小说,清,12,高,高,济公故事家喻户晓趣味十足
集藏,牛郎织女传,章回小说,明,3,高,高,牛郎织女传说家喻户晓
集藏,狄公案,章回小说,清,6,高,高,狄仁杰公案，因高罗佩广为人知
集藏,红楼梦,章回小说,清,31,高,高,四大名著之首，必译经典
集藏,老残游记,章回小说,清,6,高,高,晚清四大谴责小说，文笔佳
集藏,脂砚斋全评石头记,章回小说,清,29,高,高,红楼脂评本，研究价值极高
集藏,薛丁山征西,章回小说,清,12,高,高,薛家将征西故事流传广
集藏,薛仁贵征东,章回小说,清,11,高,高,薛仁贵征东家喻户晓
集藏,西游记,章回小说,明,34,高,高,四大名著，必译经典
集藏,说唐,章回小说,清,10,高,高,说唐英雄故事流传极广
集藏,说岳全传,章回小说,清,29,高,高,岳飞演义，家喻户晓爱国题材
集藏,金圣叹批评本水浒传,章回小说,明,29,高,高,金批水浒经典，必读评本
集藏,金瓶梅,章回小说,明,34,高,高,世情小说巅峰，文学地位极高
集藏,金瓶梅词话万历本,章回小说,明,72,高,高,金瓶梅词话本，最重要版本
集藏,镜花缘,章回小说,清,32,高,高,清代奇幻名著，想象瑰丽
